Tue, 05 May 2020 20:58:51 GMT | INFO | loggers.log | Serving is running on PORT 8081 | 
Tue, 05 May 2020 20:58:52 GMT | INFO | loggers.log | Connected to mongodb | 
Tue, 05 May 2020 21:11:26 GMT | INFO | loggers.log | Serving is running on PORT 8081 | 
Tue, 05 May 2020 21:11:27 GMT | INFO | loggers.log | Connected to mongodb | 
Tue, 05 May 2020 21:12:49 GMT | ERROR | loggers.log | The CORS policy fo the site doesn't allow access from the specified Origin | 
Tue, 05 May 2020 21:13:43 GMT | INFO | loggers.log | Serving is running on PORT 8081 | 
Tue, 05 May 2020 21:13:43 GMT | INFO | loggers.log | Connected to mongodb | 
Tue, 05 May 2020 21:13:51 GMT | ERROR | loggers.log | The CORS policy fo the site doesn't allow access from the specified Origin | 
Tue, 05 May 2020 21:14:41 GMT | INFO | loggers.log | Serving is running on PORT 8081 | 
Tue, 05 May 2020 21:14:41 GMT | INFO | loggers.log | Connected to mongodb | 
Tue, 05 May 2020 21:14:44 GMT | ERROR | loggers.log | The CORS policy fo the site doesn't allow access from the specified Origin | 
Tue, 05 May 2020 21:15:16 GMT | INFO | loggers.log | Serving is running on PORT 8081 | 
Tue, 05 May 2020 21:15:16 GMT | INFO | loggers.log | Connected to mongodb | 
Tue, 05 May 2020 21:20:12 GMT | INFO | loggers.log | Serving is running on PORT 8081 | 
Tue, 05 May 2020 21:20:12 GMT | INFO | loggers.log | Connected to mongodb | 
Tue, 05 May 2020 21:30:15 GMT | INFO | loggers.log | Serving is running on PORT 8081 | 
Tue, 05 May 2020 21:30:15 GMT | INFO | loggers.log | Connected to mongodb | 
Tue, 05 May 2020 21:32:35 GMT | INFO | loggers.log | Serving is running on PORT 8081 | 
Tue, 05 May 2020 21:32:35 GMT | INFO | loggers.log | Connected to mongodb | 
Tue, 05 May 2020 21:49:40 GMT | INFO | loggers.log | Serving is running on PORT 8081 | 
Tue, 05 May 2020 21:49:40 GMT | INFO | loggers.log | Connected to mongodb | 
Tue, 05 May 2020 22:09:42 GMT | INFO | loggers.log | Serving is running on PORT 8081 | 
Tue, 05 May 2020 22:09:42 GMT | INFO | loggers.log | Connected to mongodb | 
Tue, 05 May 2020 22:23:00 GMT | INFO | loggers.log | Serving is running on PORT 8081 | 
Tue, 05 May 2020 22:23:00 GMT | INFO | loggers.log | Connected to mongodb | 
Tue, 05 May 2020 23:31:05 GMT | INFO | loggers.log | Serving is running on PORT 8081 | 
Tue, 05 May 2020 23:31:06 GMT | INFO | loggers.log | Connected to mongodb | 
Tue, 05 May 2020 23:40:52 GMT | INFO | loggers.log | Serving is running on PORT 8081 | 
Tue, 05 May 2020 23:40:52 GMT | INFO | loggers.log | Connected to mongodb | 
Tue, 05 May 2020 23:44:12 GMT | INFO | loggers.log | Serving is running on PORT 8081 | 
Tue, 05 May 2020 23:44:12 GMT | INFO | loggers.log | Connected to mongodb | 
Tue, 05 May 2020 23:54:39 GMT | INFO | loggers.log | Serving is running on PORT 8081 | 
Tue, 05 May 2020 23:54:39 GMT | INFO | loggers.log | Connected to mongodb | 
Tue, 05 May 2020 23:56:19 GMT | ERROR | loggers.log | generateToken is not defined | 
Wed, 06 May 2020 01:43:13 GMT | INFO | loggers.log | Serving is running on PORT 8081 | 
Wed, 06 May 2020 01:43:13 GMT | INFO | loggers.log | Connected to mongodb | 
Wed, 06 May 2020 01:43:57 GMT | ERROR | loggers.log | ERROR! User already exists.  | 
Wed, 06 May 2020 01:45:25 GMT | ERROR | loggers.log | generateToken is not defined | 
Wed, 06 May 2020 01:49:38 GMT | INFO | loggers.log | Serving is running on PORT 8081 | 
Wed, 06 May 2020 01:49:38 GMT | INFO | loggers.log | Connected to mongodb | 
Wed, 06 May 2020 01:50:32 GMT | INFO | loggers.log | admin has verified the user's token | 
Wed, 06 May 2020 01:50:47 GMT | ERROR | loggers.log | "lat" must be a string | 
Wed, 06 May 2020 01:51:54 GMT | INFO | loggers.log | Serving is running on PORT 8081 | 
Wed, 06 May 2020 01:51:54 GMT | INFO | loggers.log | Connected to mongodb | 
Wed, 06 May 2020 01:53:26 GMT | INFO | loggers.log | User admin added images to users's database  | 
Tue, 23 Jun 2020 23:35:22 GMT | INFO | loggers.log | Serving is running on PORT 8081 | 
Tue, 23 Jun 2020 23:44:49 GMT | INFO | loggers.log | Serving is running on PORT 8081 | 
Tue, 23 Jun 2020 23:50:18 GMT | INFO | loggers.log | Serving is running on PORT 8081 | 
Tue, 23 Jun 2020 23:57:06 GMT | INFO | loggers.log | Serving is running on PORT 8081 | 
Tue, 23 Jun 2020 23:59:13 GMT | INFO | loggers.log | Serving is running on PORT 8081 | 
Wed, 24 Jun 2020 00:02:38 GMT | INFO | loggers.log | Serving is running on PORT 8081 | 
Wed, 24 Jun 2020 08:50:03 GMT | INFO | loggers.log | Serving is running on PORT 8081 | 
Wed, 24 Jun 2020 08:50:03 GMT | INFO | loggers.log | Connected to mongodb | 
Wed, 24 Jun 2020 08:57:55 GMT | INFO | loggers.log | Serving is running on PORT 8081 | 
Wed, 24 Jun 2020 08:57:55 GMT | INFO | loggers.log | Connected to mongodb | 
Wed, 24 Jun 2020 08:59:02 GMT | INFO | loggers.log | Serving is running on PORT 8081 | 
